,hacat_unstim,hacat_stim,myla,GM12878,naive_T
ENSG00000004848,0.0,0.0,8.371812664878199,0.44051205455734643,0.0
ENSG00000004864,84.5579734349206,58.49160902998948,19.534229551382452,39.30724343641282,7.897855
ENSG00000004866,14.57907767367481,15.37277432818946,30.696646437886752,10.786695423541463,1.1493
ENSG00000004897,130.9532795373414,123.02546596997915,241.85236587425905,175.82534839423553,36.540445999999996
ENSG00000004939,0.0,0.0,0.0,0.0,0.580635
ENSG00000004948,0.0,0.0,0.0,0.0,0.0
ENSG00000004961,107.31769993216591,137.24342564758845,51.16107739647786,77.89979982560827,6.624499
ENSG00000004975,26.363877009644412,26.93510986553652,28.83624362346935,17.90635700118074,23.284398
ENSG00000005001,14.726522525947946,8.30793473663744,0.0,0.0,0.074318
ENSG00000005007,85.57321673519438,83.96316958126341,109.76376605062548,110.79590138164578,76.60223300000001
